"","FIPS","GEO_ID","pop2020","pop2020_w","pct_w","pct_pov","med_inc","pct_unins","incidence","death","svi"
"198",6037,"0500000US06037",10014009,3259427,32.5486725646042,14.9,68044,9.6,377.3,135.4,0.7682
"199",6039,"0500000US06039",156255,65248,41.7573837637196,19.9,57585,8.3,392.1,147.4,0.9541
"200",6041,"0500000US06041",262321,179377,68.3807243796722,7.2,115246,3.5,451.4,115.5,0.2701
"201",6043,"0500000US06043",17131,13385,78.1332088027552,15.2,48820,5.6,372.1,141,0.5293
"202",6045,"0500000US06045",91601,59510,64.9665396665975,17.8,51416,8.6,432.1,151.4,0.8818
"203",6047,"0500000US06047",281202,104534,37.1739888052005,21.2,53672,8.3,380.5,154.6,0.9717
"204",6049,"0500000US06049",8700,6772,77.8390804597701,18.8,45507,12.5,357.8,136.7,0.7516
"205",6051,"0500000US06051",13195,9349,70.8525956801819,12.1,62260,16.1,290.9,73.4,0.1408
"206",6053,"0500000US06053",439035,158879,36.1882310066396,13.1,71015,9.8,390.8,124.1,0.799
"207",6055,"0500000US06055",138019,76158,55.1793593635659,7.8,88596,5.9,421.6,144.3,0.5051
"208",6057,"0500000US06057",102241,85604,83.7276630705881,11,66096,6.5,411.9,135.8,0.2045
"209",6059,"0500000US06059",3186989,1383257,43.4032561769118,10.9,90234,7.6,410.4,129.4,0.4191
"210",6061,"0500000US06061",404739,288586,71.3017524874055,7.7,89691,4,452.7,136,0.1519
"211",6063,"0500000US06063",19790,16608,83.9211723092471,12.1,55359,3.1,419.9,152,0.2653
"212",6065,"0500000US06065",2418185,995627,41.1724909384518,13.7,67005,8.8,403.2,141.3,0.7939
"213",6067,"0500000US06067",1585055,715722,45.1543952733501,14.7,67151,5.5,425.9,153.3,0.7338
"214",6069,"0500000US06069",64209,27230,42.4083851173512,8.4,86958,7.5,395.4,122.7,0.5245
"215",6071,"0500000US06071",2181654,782691,35.8760371717972,16,63362,8.4,399.9,153.7,0.901
"216",6073,"0500000US06073",3298634,1633129,49.5092514052787,11.6,78980,7.8,418.6,140.5,0.5596
"217",6075,"0500000US06075",873965,361382,41.3497108007758,10.3,112449,3.7,394.5,126.7,0.3911
"218",6077,"0500000US06077",779233,267339,34.3079669367185,14.5,64432,6.4,413.4,155.1,0.8892
"219",6079,"0500000US06079",282424,198338,70.2270345296434,12.5,73518,6,442.7,134.4,0.3739
"220",6081,"0500000US06081",764442,300188,39.2689046389392,6.7,122641,4.2,412.3,117.3,0.265
"221",6083,"0500000US06083",448229,224748,50.1413340056087,13.5,74624,10,438.4,130.2,0.7111
"222",6085,"0500000US06085",1936259,622617,32.1556671912177,7.5,124055,4.3,382.7,116.2,0.3557
"223",6087,"0500000US06087",270861,160565,59.2794828343689,13.1,82234,5.1,428.6,129.7,0.543
"224",6089,"0500000US06089",182155,142899,78.4491229996432,16.7,54667,6.5,490.3,173.6,0.7022
"225",6091,"0500000US06091",3236,2703,83.5290482076638,9.7,52148,8.8,319.9,92.9,0.0452
"226",6093,"0500000US06093",44076,33597,76.2251565477811,18.8,45241,5.9,354.5,168.5,0.7223
"227",6095,"0500000US06095",453491,175768,38.7588728331985,9.5,81472,4.7,428.5,158.5,0.5911
"228",6097,"0500000US06097",488863,306684,62.734140239699,9.2,81018,6.1,429.7,138.4,0.4035
"229",6099,"0500000US06099",552878,256602,46.412047504151,15.1,60704,5.7,420.6,162.9,0.8675
"230",6101,"0500000US06101",99633,46810,46.9824255015908,15.5,59050,8,398.3,155.9,0.8822
"231",6103,"0500000US06103",65829,44926,68.2465174922906,22.1,44514,6.3,479.4,160.8,0.9624
"232",6105,"0500000US06105",16112,11627,72.1636047666336,19,40846,10.5,426.8,132.9,0.7411
"233",6107,"0500000US06107",473117,186255,39.3676405624824,23.8,49687,8.1,370.2,143.4,0.9417
"234",6109,"0500000US06109",55620,44207,79.4804027328299,12.8,60108,5.5,408,149.8,0.4688
"235",6111,"0500000US06111",843843,428677,50.8005636119515,8.9,88131,8.8,421.6,134.3,0.4828
"236",6113,"0500000US06113",216403,107304,49.5852645296045,19.1,70228,4.8,400.1,139.5,0.6768
"237",6115,"0500000US06115",81575,46590,57.1130861170702,15.5,58054,7.2,456.8,192.8,0.942
"238",8001,"0500000US08001",519572,289718,55.7608955063013,10.8,71202,10.1,404.2,148,0.5892
"239",8003,"0500000US08003",16376,10069,61.4863214460186,23.5,37515,12.2,367.3,135.6,0.9452
"240",8005,"0500000US08005",655070,396027,60.4556764925886,8.1,77469,7.7,396,128.2,0.2662
"241",8007,"0500000US08007",13359,10749,80.4626094767572,8.8,52221,10.7,299.6,108.1,0.257
"242",8009,"0500000US08009",3506,3043,86.7940673131774,19,35878,6.8,395,169.8,0.6086
"243",8011,"0500000US08011",5650,3831,67.8053097345133,29.5,30900,8.8,312.6,162,0.8981
"244",8013,"0500000US08013",330758,255983,77.3928370591187,11.7,83019,4.6,384.3,120.5,0.1704
"245",8014,"0500000US08014",74112,56334,76.011981865285,5.6,96416,4.3,381.2,122.7,0.049
"246",8015,"0500000US08015",19476,16693,85.710618196755,9.8,55771,10,389.5,123.2,0.2389
